epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.3482,0.82346,2.02755,1.21469,0.63336,0.65426,0.63701,0.44909,0.90568,1.7809,1.37591,0.000411706,0.000411706,0.000411706
2,94.7958,0.88253,1.38975,1.24505,0.41708,0.37753,0.33145,0.19597,1.37503,3.31947,1.83324,0.000816657,0.000816657,0.000816657
3,135.957,0.91996,1.33089,1.2656,0.48369,0.51658,0.50723,0.31896,1.16633,1.94185,1.59037,0.00120982,0.00120982,0.00120982
4,172.774,0.90876,1.31404,1.25461,0.46817,0.52184,0.48287,0.28469,1.3655,1.84796,1.74879,0.00119696,0.00119696,0.00119696
5,210.184,0.86882,1.20438,1.22676,0.69389,0.64238,0.68563,0.49054,0.95224,1.57217,1.38598,0.00117929,0.00117929,0.00117929
6,246.184,0.83119,1.1289,1.20499,0.64725,0.7281,0.73172,0.53423,0.89202,1.23558,1.27838,0.00116161,0.00116161,0.00116161
7,285.387,0.79473,1.06347,1.18,0.79188,0.75563,0.81447,0.58401,0.93174,1.20351,1.35666,0.00114393,0.00114393,0.00114393
8,321.112,0.75498,0.99273,1.16119,0.76093,0.71729,0.79599,0.60343,0.79878,0.98392,1.22398,0.00112625,0.00112625,0.00112625
9,357.996,0.75608,0.98299,1.16587,0.81247,0.71481,0.82232,0.63224,0.7746,1.09878,1.2177,0.00110857,0.00110857,0.00110857
10,397.315,0.7045,0.91965,1.13506,0.84081,0.76821,0.82237,0.61298,0.79664,0.97088,1.21442,0.00109089,0.00109089,0.00109089
11,433.182,0.70998,0.90935,1.1287,0.84705,0.78395,0.84275,0.65616,0.75166,0.84521,1.17846,0.00107321,0.00107321,0.00107321
12,469.958,0.68919,0.88235,1.11818,0.83659,0.79008,0.84921,0.65722,0.78925,0.89239,1.21152,0.00105554,0.00105554,0.00105554
13,506.468,0.67396,0.84484,1.10578,0.88362,0.83238,0.88225,0.7105,0.69362,0.73255,1.13812,0.00103786,0.00103786,0.00103786
14,545.9,0.66454,0.81449,1.10544,0.89606,0.83021,0.89039,0.74841,0.60918,0.70654,1.06856,0.00102018,0.00102018,0.00102018
15,582.292,0.62853,0.76098,1.07955,0.87019,0.86621,0.88297,0.73436,0.63684,0.69173,1.08075,0.0010025,0.0010025,0.0010025
16,618.549,0.63671,0.79273,1.08414,0.83871,0.8479,0.87571,0.71342,0.66448,0.73444,1.10238,0.000984821,0.000984821,0.000984821
17,654.441,0.6256,0.76695,1.07525,0.86584,0.83482,0.88389,0.73804,0.6286,0.68399,1.06435,0.000967143,0.000967143,0.000967143
18,690.304,0.60263,0.72193,1.0672,0.8413,0.85356,0.89539,0.73742,0.59826,0.66926,1.04814,0.000949464,0.000949464,0.000949464
19,726.836,0.59401,0.71677,1.06511,0.84896,0.86576,0.89085,0.75175,0.59702,0.63043,1.0404,0.000931786,0.000931786,0.000931786
20,763.678,0.59024,0.69604,1.06092,0.91072,0.8581,0.8862,0.73311,0.62213,0.68681,1.04245,0.000914107,0.000914107,0.000914107
21,802.698,0.59476,0.73131,1.0623,0.85057,0.8541,0.88829,0.76333,0.54521,0.60591,1.0001,0.000896429,0.000896429,0.000896429
22,838.792,0.57296,0.68474,1.04755,0.88329,0.86176,0.90671,0.77977,0.55098,0.60577,0.99428,0.00087875,0.00087875,0.00087875
23,874.487,0.56522,0.6548,1.04101,0.85343,0.86521,0.8937,0.7725,0.55426,0.61494,0.99793,0.000861071,0.000861071,0.000861071
24,910.102,0.5499,0.65971,1.03514,0.90337,0.8606,0.90527,0.79597,0.51374,0.57914,0.96705,0.000843393,0.000843393,0.000843393
25,946.057,0.55458,0.65036,1.04125,0.88362,0.85261,0.8947,0.77442,0.52789,0.60645,0.9787,0.000825714,0.000825714,0.000825714
26,982.453,0.53623,0.62158,1.02832,0.88948,0.86076,0.88919,0.77269,0.53156,0.55289,0.97273,0.000808036,0.000808036,0.000808036
27,1018.44,0.53396,0.62078,1.02439,0.87775,0.89476,0.90614,0.78756,0.52114,0.57396,0.98356,0.000790357,0.000790357,0.000790357
28,1054.73,0.53745,0.62686,1.03062,0.89115,0.86797,0.90555,0.79347,0.50632,0.57429,0.95859,0.000772679,0.000772679,0.000772679
29,1093.09,0.50785,0.57955,1.01215,0.87117,0.88779,0.90279,0.8008,0.50896,0.56138,0.96706,0.000755,0.000755,0.000755
30,1129.89,0.51983,0.61402,1.02925,0.88237,0.88735,0.89919,0.79581,0.49205,0.54674,0.95216,0.000737321,0.000737321,0.000737321
31,1166.09,0.51893,0.62433,1.02223,0.91839,0.86187,0.91477,0.79923,0.49721,0.52071,0.96508,0.000719643,0.000719643,0.000719643
32,1202.46,0.49999,0.58503,1.00661,0.9002,0.86844,0.91122,0.79455,0.48583,0.53346,0.947,0.000701964,0.000701964,0.000701964
33,1238.54,0.48258,0.56743,1.0038,0.90085,0.87104,0.91399,0.81159,0.46903,0.56506,0.93207,0.000684286,0.000684286,0.000684286
34,1275.23,0.49134,0.59101,1.00256,0.8821,0.88541,0.91551,0.81356,0.45675,0.51653,0.91953,0.000666607,0.000666607,0.000666607
35,1311.94,0.47749,0.57214,1.00173,0.87446,0.89896,0.90743,0.80728,0.4746,0.50673,0.94499,0.000648929,0.000648929,0.000648929
36,1350.15,0.47407,0.54101,0.99519,0.87702,0.88375,0.91682,0.81491,0.47548,0.51395,0.94123,0.00063125,0.00063125,0.00063125
37,1387.01,0.46201,0.53194,0.99086,0.88451,0.88265,0.91603,0.82083,0.45137,0.49225,0.91675,0.000613571,0.000613571,0.000613571
38,1423.68,0.46908,0.54297,0.9944,0.87802,0.89098,0.91089,0.81938,0.44611,0.49617,0.91948,0.000595893,0.000595893,0.000595893
